Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Mabuya nigropunctata,Mabuya,Scincidae,Minacu,-48.3,-13.83,NA,NA,NA,88.71,NA,NA,NA,NA,4.3,97,Viviparous,1,1,NA,Active,Tropical,Terrestrial,(Pinto 1999b)
Mabuya nigropunctata,Mabuya,Scincidae,"Acre, 1996",-72.78,-8.26,26.225,9.06913263,4,105.25,15.96610994,4,83,71,6.333,3,Viviparous,1,1,NA,Active,Tropical,Arboreal,Present work
Mabuya nigropunctata,Mabuya,Scincidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,23.188,2.34,9,99.94,5.19,9,90,50,5.44,9,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya nigropunctata,Mabuya,Scincidae,"Cemex, Para, 95",-54.83,-3.15,18.961,5.75,23,92.043,12.17,23,57,57,3.957,23,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya nigropunctata,Mabuya,Scincidae,PEGM 1998,-64.56,-10.32,17.78,5.92,5,89.8,8.9,5,80,58,4.5,4,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya nigropunctata,Mabuya,Scincidae,"Rio Ituxi, 1997",-65.72,-8.33,18.875,4.61,4,95.5,8.23,4,85,69,4.667,3,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya nigropunctata,Mabuya,Scincidae,"Roraima 1991, Catrimani",-62.29,1.74,15.3,7.73,11,85.91,13.97,11,68,68,4.222,9,Viviparous,2,2,NA,Active,Tropical,Arboreal,Present work
Mabuya nigropunctata,Mabuya,Scincidae,Roraima 1993,-62.43,2,15.85,7.17,10,89.33,13.44,10,69,46,4.857,7,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya nigropunctata,Mabuya,Scincidae,"Jalapao, 2002-2004",-47.07,-10.37,13.45,7.03,4,82,19.68,4,53,53,4,4,Viviparous,1,1,NA,Active,Tropical,Arboreal,Present work
Mabuya nigropunctata,Mabuya,Scincidae,"Monte Alegre, 2002",-54.08,-2,12.2,6.78,2,83.5,23.33,2,67,67,3.33,3,Viviparous,1,1,NA,Active,Tropical,Arboreal,Present work
Mabuya unimarginata,Mabuya,Scincidae,"Nicaragua, 1991, Momotombo, Chococente - dry forest",-86.1375,11.47917,6.317,5.97,4,59.67,16.39,4,41,28,6.33,3,Viviparous,1,1,NA,Active,Tropical,Arboreal,Present work
