Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Agama Agama,Agama,Agamidae,"Suacocco, Liberia 1952-1953",-9.05,7.08,NA,NA,NA,85,NA,63,75,32,7.5,NA,Oviparous,2,2,NA,Sit and wait,Tropical,Saxicolous,(Harris 1964)
Agama Agama,Agama,Agamidae,"Ibadan, NIgeria",3.92,7.4,NA,NA,NA,97,NA,NA,NA,NA,5.5,NA,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Daniel 1960)
Agama hispida,Agama,Agamidae,"Kalahari Desert, Africa, 1969-1970",21.25,-27.03,31.86,6.16,28,94.84,6.91,51,76,29,13.4,45,Oviparous,NA,1,0.305,Sit and wait,Temperate,Semi-arboreal,(Pianka 1986)
Caimanops amphiboluroides,Caimanops,Agamidae,Australia,119.1,-28.5,NA,NA,NA,94,7.07,2,89,38,12,2,Oviparous,NA,1,NA,Sit and wait,Temperate,Semi-arboreal,(Pianka 2013d)
Ctenophorus caudicinctus,Ctenophorus,Agamidae,Australia,119.62,-27.08,10.04,2.294,17,62.89,4.433,18,57,22,5.36,14,Oviparous,NA,1,0.166,Sit and wait,Temperate,Saxicolous,Present work
Ctenophorus clayi,Ctenophorus,Agamidae,Australia,123.7,-28.18,3.58,0.798,75,48.04,2.84,75,44,23,2.714,28,Oviparous,NA,1,0.1924,Sit and wait,Temperate,Terrestrial,(Pianka 2013c)
Ctenophorus fordi,Ctenophorus,Agamidae,"Nymagee, New South Wales",146.32,-32.04,NA,NA,NA,NA,NA,NA,48,24,2.26,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Terrestrial,(Cogger 1978)
Ctenophorus fordi,Ctenophorus,Agamidae,Australia,123.92,-28.13,4.74,0.915,41,52.6,2.731,41,49,25,2.31,13,Oviparous,NA,1,0.1142,Sit and wait,Temperate,Terrestrial,(Pianka 2013c)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-All,123.54,-27.83,6.784,1.693,741,56.032,4.3518,756,47,22,3.4,40,Oviparous,NA,2,0.1433,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-B,123.6,-28.24,6.532,1.41,120,55.363,3.6143,120,51,26,3.08,39,Oviparous,NA,2,0.1471,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-E,123.9,-28.1,5.819,1.654,31,53.355,4.1677,31,52,32,3,13,Oviparous,NA,2,NA,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-G,125.83,-28.5,6.853,0.9995,45,57.138,3.4714,58,53,25,3.35,40,Oviparous,NA,2,NA,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-L,122.67,-28.5,6.685,1.665,338,55.524,4.193,336,47,24,2.77,22,Oviparous,NA,2,0.1239,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-R,123.6,-28.2,6.923,1.674,151,56.671,4.2581,155,52,22,3.03,30,Oviparous,NA,2,0.1875,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
Ctenophorus nuchalis,Ctenophorus,Agamidae,Western Australia,121.63,-27.67,NA,NA,NA,NA,NA,NA,67,NA,3.43,NA,Oviparous,3,2,NA,Sit and wait,Temperate,Terrestrial,(Bradshaw 1981)
Ctenophorus nuchalis,Ctenophorus,Agamidae,Australia,123.09,-27.89,18.575,6.462,92,84.03,7.386,96,75,25,4.14,35,Oviparous,NA,1,0.1105,Sit and wait,Temperate,Terrestrial,(Pianka 1971a)
Ctenophorus ornatus,Ctenophorus,Agamidae,Western Australia,121.63,-27.67,NA,NA,NA,NA,NA,NA,69,NA,3.75,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Terrestrial,(Bradshaw 1981)
Ctenophorus reticulatus,Ctenophorus,Agamidae,Australia,124.25,-28.1,14.77,3.317,7,77,6.43,12,71,31,4,7,Oviparous,NA,1,0.192,Sit and wait,Temperate,Terrestrial,(Pianka 2014)
Ctenophorus scutulatus,Ctenophorus,Agamidae,Australia,121.68,-28.3,35.178,2.703,9,99.9,3.208,10,96,29,6.83,6,Oviparous,NA,1,0.118,Sit and wait,Temperate,Terrestrial,(Pianka 1971c)
Diporiphora winneckei,Diporiphora,Agamidae,Australia,122.55,-27.17,4.267,0.528,6,56.5,2.986,6,51,30,3,6,Oviparous,NA,1,0.215,Sit and wait,Temperate,Arboreal,(Pianka 2013b)
Draco melanopogon,Draco,Agamidae,"Nanga Tekalit, Sarawak",113.64,1.62,NA,NA,NA,84,NA,NA,75,NA,1.92,NA,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,(Inger and Greenberg 1966)
Draco quinquefaciatus,Draco,Agamidae,"Nanga Tekalit, Sarawak",113.64,1.62,NA,NA,NA,97.4,NA,NA,85.9,NA,2.71,NA,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,(Inger and Greenberg 1966)
Japalura swinhonis,Japalura,Agamidae,"Tai-chung, Taiwan ",120.94,24.23,NA,NA,NA,76.1,NA,NA,53.5,20,4.27,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Arboreal,(Jun-yi and Kau-hung 1982)
Lophognathus longirostris,Lophognathus,Agamidae,Australia,123.07,-27.7,22.63,2.79,14,99.7,3.92,14,94,40,4.44,9,Oviparous,NA,1,0.15,Sit and wait,Temperate,Arboreal,(Pianka 2013b)
Moloch horridus,Moloch,Agamidae,Australia,122.97,-27.87,49.04,13.4,117,94.24,7.06,117,78,35,6.79,80,Oviparous,NA,1,0.1652,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1970)
Pogona minor,Pogona,Agamidae,Australia,123.09,-27.89,54.11,19.05,83,116.55,11.89,85,91,35,8.125,24,Oviparous,NA,1,0.19989,Sit and wait,Temperate,Semi-arboreal,(Pianka 2005)
Sitana ponticeriana,Sitana,Agamidae,"Tirupati, India",79.42,13.63,NA,NA,NA,52.7,NA,NA,36,16.9,11.2,NA,Oviparous,NA,NA,NA,Sit and wait,Tropical,Terrestrial,(Rao and Rajabi 1972)
Anguis fragilis,Anguis,Anguidae,United Kingdon,-1.55,53.8,NA,NA,NA,NA,NA,NA,120,29,9,NA,Viviparous,1,1,NA,Active,Temperate,Fossorial,(Smith 1969)
Diploglossus lessonae,Diploglossus,Anguidae,"Exu, 1977",-39.71,-7.51,NA,NA,NA,141.4,NA,NA,NA,NA,3.33,9,Oviparous,1,1,NA,Active,Tropical,Fossorial,(Vitt 1985)
Elgaria coerulea,Elgaria,Anguidae,"Wasco, Oregon",-119.34,35.59,NA,NA,NA,100,NA,NA,80,NA,6.2,NA,Viviparous,1,1,NA,Sit and wait,Temperate,Terrestrial,(Fitch 1935)
Elgaria coerulea,Elgaria,Anguidae,Medococino,-123.8,39.31,NA,NA,NA,87.7,NA,NA,75,NA,3.8,NA,Viviparous,1,1,0.25,Sit and wait,Temperate,Terrestrial,(Stewart 1985)
Elgaria coerulea,Elgaria,Anguidae,"Whatcom, Washington",-121.97,48.88,NA,NA,NA,91.4,NA,NA,72,NA,4.6,NA,Viviparous,1,1,NA,Sit and wait,Temperate,Saxicolous,(Vitt 1973)
Elgaria multicarinata,Elgaria,Anguidae,"Wasco, Oregon",-119.34,35.59,NA,NA,NA,NA,NA,NA,113,NA,11.6,NA,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Fitch 1935)
Elgaria multicarinata,Elgaria,Anguidae,Puente Hills,-118.03,33.98,NA,NA,NA,108.8,NA,NA,92,NA,12,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Terrestrial,(Goldberg 1972)
Mesaspis gadovii,Mesaspis,Anguidae,"Omiltemi, Mexico",-99.5,17.56,NA,NA,NA,83.86,NA,NA,70,28.65,7.25,16,Viviparous,1,1,NA,Active,Temperate,Terrestrial,(Ramirez-Pinilla et al. 2009)
Anniella geronimensis,Anniella,Anniellidae,Baja California,-115.28,30.84,NA,NA,NA,117.63,NA,NA,111,36,1,2,Viviparous,1,1,NA,Active,Temperate,Fossorial,(Shaw 1953)
Anniella pulchra,Anniella,Anniellidae,"El Segundo, California",-118.42,33.92,NA,NA,NA,121.5,NA,NA,121,51,1.3,10,Viviparous,1,1,NA,Active,Temperate,Fossorial,(Goldberg and Miller 1985)
Anniella pulchra,Anniella,Anniellidae,"Point Pinos, California",-121.93,36.64,NA,NA,NA,166,NA,NA,126,50,1.75,4,Viviparous,1,1,NA,Active,Temperate,Fossorial,(Miller 1944)
Nephrurus laevissimus,Nephrurus,Carphodactylidae,Australia,123.07,-27.7,12.9,4.59,295,79,8.62,295,62,35,1.98,104,Oviparous,NA,1,0.134,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1976)
Nephrurus levis,Nephrurus,Carphodactylidae,Australia,124.77,-28.43,18.94,4.63,23,86.85,6.95,26,76,45,2,8,Oviparous,NA,1,NA,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1976)
Bradypodion pumilum,Bradypodion,Chamaeleonidae,"Stellenbosh, South Africa",18.87,-33.92,NA,NA,NA,78.8,NA,NA,51,22,11,NA,Viviparous,4,2,0.256,Sit and wait,Temperate,Arboreal,(Burrage 1973)
Chamaeleo namaquensis,Chamaeleo,Chamaeleonidae,"Stellenbosh, South Africa",18.87,-33.92,NA,NA,NA,120.4,NA,NA,81,32.5,13.2,NA,Oviparous,3,2,0.272,Active,Temperate,Psammophilus,(Burrage 1973)
Cordylus cataphratus,Cordylus,Cordylidae,"Graafwater, South Africa",18.6,-32.15,NA,NA,NA,106,NA,NA,93,NA,1,29,Viviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Flemming and Mouton 2002)
Cordylus polyzonus,Cordylus,Cordylidae,"Saldanha bay, South Africa",18.19,-33.02,NA,NA,NA,106.4,NA,NA,89,47.41,2.28,36,Viviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Flemming and Vanwyk 1992)
Cordylus polyzonus,Cordylus,Cordylidae,Orange Free State,26.8,-28.45,NA,NA,NA,101,NA,NA,87,41.86,2.85,52,Viviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Van Wyk 1989)
Hemicordylus capensis,Hemicordylus,Cordylidae,Cape Fold Mountains,22,-33.4,NA,NA,NA,95.9,NA,NA,83.1,NA,2.5,NA,Viviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Van Wyk and Mouton 1998)
Pseudocordylus melanotus,Pseudocordylus,Cordylidae,Eastern Orange Free State,28.93,-28.76,NA,NA,NA,107.3,NA,NA,84,35.93,3.45,33,Viviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Flemming 1993)
Basiliscus basiliscus,Basiliscus,Corytophanidae,"Guanacaste, Costa Rica",-85.35,10.5,NA,NA,NA,168,NA,NA,135,42,9.49,NA,Oviparous,6,2,NA,Sit and wait,Tropical,Terrestrial,(Van Devender 1982)
Corytophanes cristatus,Corytophanes,Corytophanidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,42.8,1.63,2,111,2.83,2,94,94,6,2,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Crotaphytus collaris,Crotaphytus,Crotaphytidae,"San Angelo, Texas",-100.44,31.46,NA,NA,NA,85.1,NA,NA,70,NA,7.47,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Terrestrial,(Ballinger and Hipp 1985)
Crotaphytus collaris,Crotaphytus,Crotaphytidae,University of Kansas Natural History Reservation,-95.24,38.96,NA,NA,NA,96,NA,NA,92,42,7.55,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Saxicolous,(Fitch 1956)
Gambelia wislizeni,Gambelia,Crotaphytidae,"Mesa, Colorado",-108.14,39.17,NA,NA,NA,105.4,NA,NA,96,44.6,7.3,NA,Oviparous,NA,NA,NA,Sit and wait,Temperate,Terrestrial,(McCoy 1967)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA- All 22, 1962-1964",-116.26,36.95,33.16,15.47,22,101.8,8.92,22,93,52,3.6,22,Oviparous,NA,1,0.128,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA-G, 1962-1964",-117.98,38.8,23.85,1.879,5,100,1.58,5,93,52,3.6,5,Oviparous,1,1,0.1632,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA-L, 1962-1964",-118.55,40.2,22.03,2.116,6,96.167,2.04,6,93,52,2.6667,6,Oviparous,1,1,0.1247,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA-N, 1962-1964",-115.83,42.2,36.41,8.354,7,98.143,4.298,7,93,52,3.4286,7,Oviparous,1,1,0.1107,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA-P, 1962-1964",-116.23,36.3,40.1,NA,1,121,NA,1,93,52,5,1,Oviparous,1,1,0.147,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA-S, 1962-1964",-114.85,35.3,62.1,NA,1,114,NA,1,93,52,7,1,Oviparous,1,1,0.124,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA-T, 1962-1964",-118.3,36.6,82.2,NA,1,125,NA,1,93,52,6,1,Oviparous,1,1,0.111,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Gambelia wislizeni,Gambelia,Crotaphytidae,"USA-V, 1962-1964",-117.25,37.08,38.75,NA,1,115,NA,1,93,52,3,1,Oviparous,1,1,0.1275,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1976)
Anolis acutus,Anolis,Dactyloidae,"St. Croix, U. S. Virgin Islands",-64.83,17.72,NA,NA,NA,42.2,NA,NA,36,20,1,NA,Oviparous,6,2,NA,Sit and wait,Tropical,Arboreal,(Ruibal et al. 1972)
Anolis biporcatus,Anolis,Dactyloidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,15.76,1.25,9,91.1,3.96,9,85,85,1,9,Oviparous,1,1,0.056,Sit and wait,Tropical,Arboreal,Present work
Anolis capito,Anolis,Dactyloidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,11.009,2.13,18,80.469,5.63,18,67,29,1,17,Oviparous,1,1,0.043,Sit and wait,Tropical,Arboreal,Present work
Anolis carolinensis,Anolis,Dactyloidae,New Orleans,-90.07,29.95,NA,NA,NA,50,NA,NA,46.5,23.5,1.3,NA,Oviparous,6,2,NA,Sit and wait,Temperate,Arboreal,(Hamlett 1952)
Anolis carpenteri,Anolis,Dactyloidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,0.96,0.21,5,39.4,1.52,5,37,26,1,4,Oviparous,1,1,0.096,Sit and wait,Tropical,Arboreal,Present work
Anolis cupreus,Anolis,Dactyloidae,Finca La Pacifica,-85.1269,10.4512,NA,NA,NA,NA,NA,NA,35.6,NA,1,NA,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,(Fleming and Hooker 1975)
Anolis fuscoauratus,Anolis,Dactyloidae,"Acre, 1996",-72.78,-8.26,1.715,0.197367287,26,45.5,2.213594362,26,42,16.9,1,24,Oviparous,1,1,0.076,Sit and wait,Tropical,Arboreal,Present work
Anolis fuscoauratus,Anolis,Dactyloidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,1.388,0.18,16,43.76,1.86,16,36,30,1,33,Oviparous,1,1,0.096,Sit and wait,Tropical,Terrestrial,Present work
Anolis fuscoauratus,Anolis,Dactyloidae,"Cemex, Para, 95",-54.83,-3.15,1.743,0.36,33,46,3.51,33,42,33,1,40,Oviparous,1,1,0.072,Sit and wait,Tropical,Terrestrial,Present work
Anolis fuscoauratus,Anolis,Dactyloidae,PEGM 1998,-64.56,-10.32,1.883,0.19,30,46.713,1.66,30,42,20.5,1,30,Oviparous,1,1,0.073,Sit and wait,Tropical,Terrestrial,Present work
Anolis fuscoauratus,Anolis,Dactyloidae,"Rio Ituxi, 1997",-65.72,-8.33,2.144,0.18,9,48.9,1.96,9,46,43,1,9,Oviparous,1,1,0.068,Sit and wait,Tropical,Terrestrial,Present work
Anolis humilis,Anolis,Dactyloidae,"Finca La Lola, Costa Rica",-81.45,8.07,NA,NA,NA,40,NA,NA,35,17.4,1.13,NA,Oviparous,NA,NA,NA,Sit and wait,Tropical,Terrestrial,(Andrews 1979)
Anolis humilis,Anolis,Dactyloidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,1.09,0.12,12,35.037,1.31,12,30,22,1,12,Oviparous,1,1,0.063,Sit and wait,Tropical,Terrestrial,Present work
Anolis lemurinus,Anolis,Dactyloidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,2.387,1.64,7,48.933,7.22,7,38,38,1,4,Oviparous,1,1,0.108,Sit and wait,Tropical,Arboreal,Present work
Anolis limifrons,Anolis,Dactyloidae,"Finca La Lola, Costa Rica",-81.45,8.07,NA,NA,NA,40,NA,NA,35,16,1.1,NA,Oviparous,NA,NA,NA,Sit and wait,Tropical,Arboreal,(Andrews 1979)
Anolis limifrons,Anolis,Dactyloidae,Isthmus of Panama,-80,9,NA,NA,NA,44,NA,NA,38,18.5,1,NA,Oviparous,2,2,NA,Sit and wait,Tropical,Arboreal,(Sexton et al. 1971)
Anolis limifrons,Anolis,Dactyloidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,1.006,0.29,11,37.879,4.13,11,29,28,1,9,Oviparous,1,1,0.069,Sit and wait,Tropical,Terrestrial,Present work
Anolis meridionalis,Anolis,Dactyloidae,"Alto Araguaia, 1989",-53.22,-17.31,NA,NA,NA,58,NA,1,NA,NA,1,1,Oviparous,NA,NA,NA,Active,Tropical,Arboreal,(Vitt 1991)
Anolis meridionalis,Anolis,Dactyloidae,"Paracatu, 2000",-46.88,-17.22,3.198,0.52,31,53.61,2.55,31,50,45.78,2.07,31,Oviparous,2,2,0.142,Sit and wait,Tropical,Arboreal,Present work
Anolis meridionalis,Anolis,Dactyloidae,"Vilhena, 1998-1999",-60.13,-12.74,2.367,0.32,7,49.33,0.79,7,48,39,1.75,4,Oviparous,2,2,NA,Sit and wait,Tropical,Terrestrial,Present work
Anolis nitens,Anolis,Dactyloidae,"Sao Domingos, 2003-2004",-46.33,-13.39,6.294,0.73,36,64.03,1.99,36,60,32,3.09,35,Oviparous,2,2,0.149,Sit and wait,Tropical,Arboreal,Present work
Anolis oculatus,Anolis,Dactyloidae,Dominica,-61.3,15.55,NA,NA,NA,61,NA,NA,48,23.8,1,NA,Oviparous,NA,NA,NA,Sit and wait,Tropical,Arboreal,(Andrews 1979)
Anolis oculatus,Anolis,Dactyloidae,Dominica,-61.37,15.41,NA,NA,NA,43,NA,NA,40,23,1,NA,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,(Somma and Brooks 1976)
Anolis ortonii,Anolis,Dactyloidae,"Rio Tinto, 2009-2010",-35.08,-6.8,2.025,0.59,5,43.712,4.61,5,36.39,26.65,3,3,Oviparous,2,2,NA,Sit and wait,Tropical,Arboreal,Present work
Anolis oxylophus,Anolis,Dactyloidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,4.93,0.7,17,62.196,3.62,17,46,26,1,16,Oviparous,1,1,0.058,Sit and wait,Tropical,Aquatic,Present work
Anolis planiceps,Anolis,Dactyloidae,Roraima 1993,-62.43,2,5.317,1.54,9,62.167,6.45,9,55,26,1.44,7,Oviparous,1,1,0.065,Sit and wait,Tropical,Terrestrial,Present work
Anolis punctatus,Anolis,Dactyloidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,8.033,0.32,3,76.33,1.53,3,75,67,1,7,Oviparous,1,1,0.062,Sit and wait,Tropical,Arboreal,Present work
Anolis punctatus,Anolis,Dactyloidae,"Cemex, Para, 95",-54.83,-3.15,7.9,0.89,6,73.667,3.56,6,67,26,1,6,Oviparous,1,1,0.05,Sit and wait,Tropical,Arboreal,Present work
Anolis punctatus,Anolis,Dactyloidae,PEGM 1998,-64.56,-10.32,7.173,1.41,15,72.2,5.77,15,58,54,1,14,Oviparous,1,1,0.063,Sit and wait,Tropical,Arboreal,Present work
Anolis punctatus,Anolis,Dactyloidae,"Rio Ituxi, 1997",-65.72,-8.33,7.33,0.93,9,71.44,2.7,9,68,62,1,8,Oviparous,1,1,0.059,Sit and wait,Tropical,Arboreal,Present work
Anolis punctatus,Anolis,Dactyloidae,"Rio Tinto, 2009-2010",-35.08,-6.8,5.167,1.59,11,64.55,7.28,11,51.83,49.9,1.5,4,Oviparous,2,2,0.052,Sit and wait,Tropical,Arboreal,Present work
Anolis tandai,Anolis,Dactyloidae,"Acre, 1996",-72.78,-8.26,5.533,0.351188458,3,63.667,1.527525232,3,62,28,1,3,Oviparous,1,1,0.073,Sit and wait,Tropical,Terrestrial,Present work
Anolis tandai,Anolis,Dactyloidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,5.66,0.59,14,67.83,2.56,14,55,30,1,30,Oviparous,1,1,0.049,Sit and wait,Tropical,Terrestrial,Present work
Anolis tandai,Anolis,Dactyloidae,"Rio Ituxi, 1997",-65.72,-8.33,5.3,0.57,2,61.5,2.12,2,60,27,1,2,Oviparous,1,1,0.072,Sit and wait,Tropical,Terrestrial,Present work
Anolis trachyderma,Anolis,Dactyloidae,"Acre, 1996",-72.78,-8.26,3.03,0.381725406,7,53.86,2.340126167,7,50,26,1,10,Oviparous,1,1,0.063,Sit and wait,Tropical,Terrestrial,Present work
Anolis trachyderma,Anolis,Dactyloidae,"Cemex, Para, 95",-54.83,-3.15,3.571,1.3,21,56.471,10.79,21,49,23,1,21,Oviparous,1,1,0.072,Sit and wait,Tropical,Terrestrial,Present work
Anolis transversalis,Anolis,Dactyloidae,"Acre, 1996",-72.78,-8.26,6.867,1.70098011,3,74.67,5.033222957,3,70,50,1,3,Oviparous,1,1,0.052,Sit and wait,Tropical,Arboreal,Present work
Anolis transversalis,Anolis,Dactyloidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,7.95,2.45,3,79.5,8.02,3,70,45,1,3,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Anolis transversalis,Anolis,Dactyloidae,PEGM 1998,-64.56,-10.32,7.975,0.97,4,79,1.41,4,77,48,1,4,Oviparous,1,1,0.067,Sit and wait,Tropical,Arboreal,Present work
Anolis tropidolepis,Anolis,Dactyloidae,"Cordillera de Talamanca, Costa Rica",-83.51,9.4,NA,NA,NA,50.25,NA,NA,42,NA,1,NA,Oviparous,6,2,NA,Sit and wait,Tropical,Arboreal,(Fitch 1972)
Diplodactylus conspicillatus,Diplodactylus,Diplodactylidae,Australia,123.26,-27.77,5.56,1.403,154,64.03,5.151,154,55,36,1.975,40,Oviparous,NA,1,0.161,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1976)
Diplodactylus pulcher,Diplodactylus,Diplodactylidae,Australia,119.1,-28.5,3.91,"0,742",11,59,3.075,11,56,35,1.83,12,Oviparous,NA,1,0.147,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1976)
Lucasium damaeum,Lucasium,Diplodactylidae,Australia,122.9,-27.51,3.478,1.082,40,54.68,4.274,41,48,33,2,18,Oviparous,NA,1,0.281,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1976)
Lucasium stenodactylum,Lucasium,Diplodactylidae,Australia,124.03,-28.4,3.195,0.765,42,54.57,3.892,42,47,26,2,10,Oviparous,NA,1,0.104,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1976)
Oedura monilis,Oedura,Diplodactylidae,"Baradine, New South Wales",149.07,-30.95,NA,NA,NA,80,NA,NA,NA,NA,2,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Arboreal,(Bustard 1971)
Oedura reticulata,Oedura,Diplodactylidae,"Konnogorring, Australia",116.78,-31.05,NA,NA,NA,66.3,NA,NA,62.5,26,2.11,NA,Oviparous,1,1,NA,Sit and wait,Temperate,Arboreal,(How and Kitchner 1983)
Oedura tryoni,Oedura,Diplodactylidae,"Baradine, New South Wales",149.07,-30.95,NA,NA,NA,80,NA,NA,73,35,2,NA,Oviparous,2,2,0.35,Sit and wait,Temperate,Arboreal,(Bustard 1971)
Rhynchoedura ornata,Rhynchoedura,Diplodactylidae,Australia,123.09,-27.89,2.33,0.617,219,52.34,3.73,230,45,22,1.98,85,Oviparous,NA,1,0.2064,Sit and wait,Temperate,Terrestrial,(Pianka and Pianka 1976)
Strophurus ciliaris,Strophurus,Diplodactylidae,Australia,123.02,-27.7,10.05,1.919,62,80.08,3.46,64,73,48,2,42,Oviparous,NA,1,0.1195,Sit and wait,Temperate,Arboreal,(Pianka and Pianka 1976)
Strophurus elderi,Strophurus,Diplodactylidae,Australia,122.34,-27.96,2.43,0.458,33,47,2.089,33,44,23,1.846,13,Oviparous,NA,1,0.174,Sit and wait,Temperate,Semi-arboreal,(Pianka and Pianka 1976)
Strophurus strophurus,Strophurus,Diplodactylidae,Australia,122.61,-27.9,7.838,1.799,32,72.69,4.73,32,63,29,2,22,Oviparous,NA,1,0.1388,Sit and wait,Temperate,Arboreal,(Pianka and Pianka 1976)
Coleonyx variegata,Coleonyx,Eublepharidae,"USA, 1962-1964",-115.75,35.46,4.995,1.13,19,68.8,4.55,19,63,37,1.94,17,Oviparous,NA,1,0.1297,Sit and wait,Temperate,Terrestrial,(Parker and Pianka 1974)
Chondrodactylus angulifer,Chondrodactylus,Gekkonidae,"Africa, 1969-1970",21.25,-27.03,19.7,5.19,22,90,4.86,22,79,17,2,22,Oviparous,NA,1,0.1974,Sit and wait,Temperate,Terrestrial,(Pianka and Huey 1978)
Chondrodactylus angulifer,Chondrodactylus,Gekkonidae,"Africa-A, 1969-1970",20.7,-27.34,23.47,0.556,3,92,1.632,3,79,17,2,3,Oviparous,NA,NA,0.1393,Sit and wait,Temperate,Terrestrial,(Pianka and Huey 1978)
Chondrodactylus angulifer,Chondrodactylus,Gekkonidae,"Africa-B, 1969-1970",20.45,-27,20,NA,1,90,NA,1,79,17,2,1,Oviparous,NA,NA,0.1,Sit and wait,Temperate,Terrestrial,(Pianka and Huey 1978)
Chondrodactylus angulifer,Chondrodactylus,Gekkonidae,"Africa-D, 1969-1970",22.1,-27.4,27.73,2.93,3,93.7,1.247,3,79,17,2,3,Oviparous,NA,NA,0.096,Sit and wait,Temperate,Terrestrial,(Pianka and Huey 1978)
Chondrodactylus angulifer,Chondrodactylus,Gekkonidae,"Africa-G, 1969-1970",22.26,-28.21,12.6,1.61,3,81.3,2.62,3,79,17,2,3,Oviparous,NA,NA,0.1543,Sit and wait,Temperate,Terrestrial,(Pianka and Huey 1978)
Chondrodactylus angulifer,Chondrodactylus,Gekkonidae,"Africa-L, 1969-1970",20.75,-26.35,16.06,1.48,5,88.8,1.47,5,79,17,2,6,Oviparous,NA,NA,0.1283,Sit and wait,Temperate,Terrestrial,(Pianka and Huey 1978)
